Metric,Jun-26,Jul-26 ,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Year,2026,2026,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031
Month,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rev_FeeCollection,20178,20282,21069,21060,21732,21277,21189,26027,26544,25100,28686,29489,29736,30352,31959,32322,32807,31537,30784,37010,36894,34063,37970,38038,37353,37108,38007,37376,37872,36343,35417,42511,42311,39003,43411,43425,42581,42241,43205,42431,42936,41150,40050,48012,47727,43943,48853,48812,47809,47375,48403,47485,48000,45956,44682,53513,53144,48884,54294,54199,53037,52509,53602,52540,53065,50763,49315
Rev_HR_Module,0,0,0,0,0,0,0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0
Rev_Portrait_Module,0,0,0,0,0,0,0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0
Rev_Total,20178,20282,21069,21060,21732,21277,21189,27739.0,28256.0,26812.0,30398.0,31201.0,31448.0,32064.0,33671.0,34034.0,34519.0,33249.0,32496.0,42326.0,42210.0,39379.0,43286.0,43354.0,42669.0,42424.0,43323.0,42692.0,43188.0,41659.0,40733.0,55548.0,55348.0,52040.0,56448.0,56462.0,55618.0,55278.0,56242.0,55468.0,55973.0,54187.0,53087.0,71972.0,71687.0,67903.0,72813.0,72772.0,71769.0,71335.0,72363.0,71445.0,71960.0,69916.0,68642.0,91012.0,90643.0,86383.0,91793.0,91698.0,90536.0,90008.0,91101.0,90039.0,90564.0,88262.0,86814.0
Cost_Infra_ManagementFee,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Cost_Infra_Total,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Cost_Mgmt_CEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73
Cost_Mgmt_DCEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6414.77,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73,7320.73
