Metric,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Year,2026,2026,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031
Month,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rev_FeeCollection,20420.14,20487.84,21171.31,21028.28,21510.98,20821,20477.52,22268.58,22388.11,20845.95,23434.12,23668.21,23438.59,23479.45,24225.56,24025.86,24541.37,23720.15,23296.14,25298.96,25400.6,23619.83,26518.19,26749.31,26457.05,26471.06,27279.82,27023.44,27571.76,26619.3,26114.76,28329.35,28413.1,26393.71,29602.27,29830.4,29475.51,29462.68,30334.07,30021.02,30602.15,29518.45,28933.38,31359.74,31425.59,29167.59,32686.35,32911.49,32493.97,32454.29,33388.32,33018.6,33632.54,32417.6,31752,34137.6,33936,31248,34742.4,34708.8,34003.2,33700.8,34406.4,33768,34137.6,32659.2,31752
Rev_HR_Module,0,0,0,0,0,0,0,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,598.5,2772,2772,2772,2772,2772,2772,2772,2772,2772,2772,2772,2772,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,5486.25,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Rev_Portrait_Module,0,0,0,0,0,0,0,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,1040.9,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,3122.7,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,6353.9,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,11285.75,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3,17009.3
Rev_Total,21542.25,21692.64,22495.96,22421.21,23013.03,22347.82,22049.24,25288.22,25527.65,23952.04,26887.3,27252.84,27105.62,27254.28,28186.79,28065.84,28743.88,27918.3,27533.21,32418.56,32630.78,30692.38,34099.27,34460.29,34217.83,34325.66,35353.43,35146.3,35874.23,34849.1,34341.57,42430.81,42615.83,40314.62,44193.15,44549.62,44211.94,44767.06,46398.59,46575.88,47864.18,47026.88,46791.08,58145.44,58774.31,56251.43,61560.29,62410.05,62357.2,62818.95,64668.35,64648.52,66050.94,64757.15,64241.24,77285.01,76983.62,72965.06,78189.19,78138.96,77084.08,76632,77686.87,76732.46,77285.01,75074.8,73718.54
Cost_Infra_ManagementFee,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Cost_Infra_Repayment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,1000,1000,499.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Infra_Total,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2500,2500,2500,2500,2500,2500,3490.05,3490.05,3490.05,3990.05,3990.05,3490.05,3490.05,2990.04,2490.05,2490.05,2490.05,2490.05,12490.05,2490.05,2490.05,2490.05,2490.05,2490.05,2519.75,2519.75,2519.75,2519.75,2519.75,2519.75,17519.75,2519.75,2519.75,2519.75,2519.75,2519.75,2550.34,2550.34,2550.34,2550.34,2550.34,2550.34,22550.34,2550.34,2550.34,2550.34,2550.34,2550.34
Cost_Mgmt_CEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5374.48,5609.84,5609.84,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4,7653.4
